revenue_id,revenue_month,customer_id,product_id,revenue_type,opening_mrr_inr,movement_mrr_inr,closing_mrr_inr,recognized_revenue_inr,arr_run_rate_inr
R000037,2023-01-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000038,2023-02-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000039,2023-03-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000040,2023-04-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000041,2023-05-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000042,2023-06-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000043,2023-07-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000044,2023-08-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000045,2023-09-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000046,2023-10-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000047,2023-11-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000048,2023-12-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000049,2024-01-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000050,2024-02-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000051,2024-03-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000052,2024-04-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000053,2024-05-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000054,2024-06-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000055,2024-07-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000056,2024-08-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000057,2024-09-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000058,2024-10-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000059,2024-11-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000060,2024-12-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000061,2025-01-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000062,2025-02-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000063,2025-03-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000064,2025-04-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000065,2025-05-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000066,2025-06-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000067,2025-07-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000068,2025-08-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000069,2025-09-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000070,2025-10-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000071,2025-11-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000072,2025-12-01,C0002,P002,Recurring,400000,0,400000,400000,4800000
R000073,2023-01-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000074,2023-02-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000075,2023-03-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000076,2023-04-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000077,2023-05-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000078,2023-06-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000079,2023-07-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000080,2023-08-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000081,2023-09-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000082,2023-10-01,C0003,P001,Recurring,125000,0,125000,125000,1500000
R000083,2023-11-01,C0003,P001,Expansion,125000,10000,135000,135000,1620000
R000084,2024-02-01,C0003,P001,Reactivation,0,135000,135000,135000,1620000
R000085,2024-03-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000086,2024-04-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000087,2024-05-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000088,2024-06-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000089,2024-07-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000090,2024-08-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000091,2024-09-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000092,2024-10-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000093,2024-11-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000094,2024-12-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000095,2025-01-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000096,2025-02-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000097,2025-03-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000098,2025-04-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000099,2025-05-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000100,2025-06-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000101,2025-07-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000102,2025-08-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000103,2025-09-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000104,2025-10-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000105,2025-11-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000106,2025-12-01,C0003,P001,Recurring,135000,0,135000,135000,1620000
R000107,2023-01-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000108,2023-02-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000109,2023-03-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000110,2023-04-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000111,2023-05-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000112,2023-06-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000113,2023-07-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000114,2023-08-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000115,2023-09-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000116,2023-10-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000117,2023-11-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000118,2023-12-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000119,2024-01-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000120,2024-02-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000121,2024-03-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000122,2024-04-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000123,2024-05-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000124,2024-06-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000125,2024-07-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000126,2024-08-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000127,2024-09-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000128,2024-10-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000129,2024-11-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000130,2024-12-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000131,2025-01-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000132,2025-02-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000133,2025-03-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000134,2025-04-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000135,2025-05-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000136,2025-06-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000137,2025-07-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000138,2025-08-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000139,2025-09-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000140,2025-10-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000141,2025-11-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000142,2025-12-01,C0004,P001,Recurring,90000,0,90000,90000,1080000
R000143,2023-01-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000144,2023-02-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000145,2023-03-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000146,2023-04-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000147,2023-05-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000148,2023-06-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000149,2023-07-01,C0005,P001,Recurring,130000,0,130000,130000,1560000
R000150,2023-08-01,C0005,P001,Expansion,130000,20000,150000,150000,1800000
R000151,2023-09-01,C0005,P001,Recurring,150000,0,150000,150000,1800000
R000152,2023-10-01,C0005,P002,Upgrade,150000,105000,255000,255000,3060000
R000153,2023-11-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000154,2023-12-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000155,2024-01-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000156,2024-02-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000157,2024-03-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000158,2024-04-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000159,2024-05-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000160,2024-06-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000161,2024-07-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000162,2024-08-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000163,2024-09-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000164,2024-10-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000165,2024-11-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000166,2024-12-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000167,2025-01-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000168,2025-02-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000169,2025-03-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000170,2025-04-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000171,2025-05-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000172,2025-06-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000173,2025-07-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000174,2025-08-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000175,2025-09-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000176,2025-10-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000177,2025-11-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000178,2025-12-01,C0005,P002,Recurring,255000,0,255000,255000,3060000
R000179,2023-01-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000180,2023-02-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000181,2023-03-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000182,2023-04-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000183,2023-05-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000184,2023-06-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000185,2023-07-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000186,2023-08-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000187,2023-09-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000188,2023-10-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000189,2023-11-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000190,2023-12-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000191,2024-01-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000192,2024-02-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000193,2024-03-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000194,2024-04-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000195,2024-05-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000196,2024-06-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000197,2024-07-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000198,2024-08-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000199,2024-09-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000200,2024-10-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000201,2024-11-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000202,2024-12-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000203,2025-01-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000204,2025-02-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000205,2025-03-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000206,2025-04-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000207,2025-05-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000208,2025-06-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000209,2025-07-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000210,2025-08-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000211,2025-09-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000212,2025-10-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000213,2025-11-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000214,2025-12-01,C0006,P001,Recurring,125000,0,125000,125000,1500000
R000215,2023-01-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000216,2023-02-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000217,2023-03-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000218,2023-04-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000219,2023-05-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000220,2023-06-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000221,2023-07-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000222,2023-08-01,C0007,P001,Recurring,170000,0,170000,170000,2040000
R000223,2023-09-01,C0007,P001,Expansion,170000,20000,190000,190000,2280000
R000224,2023-10-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000225,2023-11-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000226,2023-12-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000227,2024-01-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000228,2024-02-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000229,2024-03-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000230,2024-04-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000231,2024-05-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000232,2024-06-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000233,2024-07-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000234,2024-08-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000235,2024-09-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000236,2024-10-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000237,2024-11-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000238,2024-12-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000239,2025-01-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000240,2025-02-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000241,2025-03-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000242,2025-04-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000243,2025-05-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000244,2025-06-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000245,2025-07-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000246,2025-08-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000247,2025-09-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000248,2025-10-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000249,2025-11-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000250,2025-12-01,C0007,P001,Recurring,190000,0,190000,190000,2280000
R000251,2023-01-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000252,2023-02-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000253,2023-03-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000254,2023-04-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000255,2023-05-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000256,2023-06-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000257,2023-07-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000258,2023-08-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000259,2023-09-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000260,2023-10-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000261,2023-11-01,C0008,P001,Recurring,135000,0,135000,135000,1620000
R000262,2023-12-01,C0008,P002,Upgrade,135000,115000,250000,250000,3000000
R000263,2024-01-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000264,2024-02-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000265,2024-03-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000266,2024-04-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000267,2024-05-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000268,2024-06-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000269,2024-07-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000270,2024-08-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000271,2024-09-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000272,2024-10-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000273,2024-11-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000274,2024-12-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000275,2025-01-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000276,2025-02-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000277,2025-03-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000278,2025-04-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000279,2025-05-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000280,2025-06-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000281,2025-07-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000282,2025-08-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000283,2025-09-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000284,2025-10-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000285,2025-11-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000286,2025-12-01,C0008,P002,Recurring,250000,0,250000,250000,3000000
R000287,2023-01-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000288,2023-02-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000289,2023-03-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000290,2023-04-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000291,2023-05-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000292,2023-06-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000293,2023-07-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000294,2023-08-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000295,2023-09-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000296,2023-10-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000297,2023-11-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000298,2023-12-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000299,2024-01-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000300,2024-02-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000301,2024-03-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000302,2024-04-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000303,2024-05-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000304,2024-06-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000305,2024-07-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000306,2024-08-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000307,2024-09-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000308,2024-10-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000309,2024-11-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000310,2024-12-01,C0009,P001,Recurring,90000,0,90000,90000,1080000
R000311,2025-01-01,C0009,P001,Expansion,90000,15000,105000,105000,1260000
R000312,2025-02-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000313,2025-03-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000314,2025-04-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000315,2025-05-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000316,2025-06-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000317,2025-07-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000318,2025-08-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000319,2025-09-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000320,2025-10-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000321,2025-11-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000322,2025-12-01,C0009,P001,Recurring,105000,0,105000,105000,1260000
R000323,2023-01-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000324,2023-02-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000325,2023-03-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000326,2023-04-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000327,2023-05-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000328,2023-06-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000329,2023-07-01,C0010,P002,Recurring,420000,0,420000,420000,5040000
R000330,2023-08-01,C0010,P002,Expansion,420000,45000,465000,465000,5580000
R000331,2023-09-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000332,2023-10-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000333,2023-11-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000334,2023-12-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000335,2024-01-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000336,2024-02-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000337,2024-03-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000338,2024-04-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000339,2024-05-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000340,2024-06-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000341,2024-07-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000342,2024-08-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000343,2024-09-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000344,2024-10-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000345,2024-11-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000346,2024-12-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000347,2025-01-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000348,2025-02-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000349,2025-03-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000350,2025-04-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000351,2025-05-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000352,2025-06-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000353,2025-07-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000354,2025-08-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000355,2025-09-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000356,2025-10-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000357,2025-11-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000358,2025-12-01,C0010,P002,Recurring,465000,0,465000,465000,5580000
R000359,2023-01-01,C0011,P002,Recurring,340000,0,340000,340000,4080000
R000360,2023-02-01,C0011,P002,Recurring,340000,0,340000,340000,4080000
R000361,2023-03-01,C0011,P002,Recurring,340000,0,340000,340000,4080000
R000362,2023-04-01,C0011,P002,Recurring,340000,0,340000,340000,4080000
R000363,2023-05-01,C0011,P002,Recurring,340000,0,340000,340000,4080000
